 format: day,hour,forecast,value  location:53_114 Start : 20210601 
 1,0200,+4,250.000000 
 1,0200,+7,202.000000 
 1,0200,+10,199.000000 
 1,0200,+13,159.000000 
 1,0200,+16,193.000000 
 1,0200,+19,167.000000 
 1,0200,+22,148.000000 
 1,0200,+25,184.000000 
 1,0200,+28,227.000000 
 1,0200,+31,262.000000 
 1,0200,+34,261.000000 
 1,0200,+37,198.000000 
 1,0200,+40,144.000000 
 1,0200,+43,136.000000 
 1,0200,+46,134.000000 
 1,0200,+49,171.000000 
 1,0200,+52,339.000000 
 1,0200,+55,63.000000 
 1,0200,+58,321.000000 
 1,0200,+61,288.000000 
 1,0500,+4,202.000000 
 1,0500,+7,199.000000 
 1,0500,+10,159.000000 
 1,0500,+13,193.000000 
 1,0500,+16,167.000000 
 1,0500,+19,148.000000 
 1,0500,+22,184.000000 
 1,0500,+25,227.000000 
 1,0500,+28,262.000000 
 1,0500,+31,261.000000 
 1,0500,+34,198.000000 
 1,0500,+37,144.000000 
 1,0500,+40,136.000000 
 1,0500,+43,134.000000 
 1,0500,+46,171.000000 
 1,0500,+49,339.000000 
 1,0500,+52,63.000000 
 1,0500,+55,321.000000 
 1,0500,+58,288.000000 
 1,0800,+4,360.000000 
 1,0800,+7,156.000000 
 1,0800,+10,246.000000 
 1,0800,+13,126.000000 
 1,0800,+16,174.000000 
 1,0800,+19,202.000000 
 1,0800,+22,218.000000 
 1,0800,+25,241.000000 
 1,0800,+28,208.000000 
 1,0800,+31,183.000000 
 1,0800,+34,183.000000 
 1,0800,+37,154.000000 
 1,0800,+40,159.000000 
 1,0800,+43,162.000000 
 1,0800,+46,96.000000 
 1,0800,+49,351.000000 
 1,0800,+52,337.000000 
 1,0800,+55,278.000000 
 1,1100,+4,156.000000 
 1,1100,+7,246.000000 
 1,1100,+10,126.000000 
 1,1100,+13,174.000000 
 1,1100,+16,202.000000 
 1,1100,+19,218.000000 
 1,1100,+22,241.000000 
 1,1100,+25,208.000000 
 1,1100,+28,183.000000 
 1,1100,+31,183.000000 
 1,1100,+34,154.000000 
 1,1100,+37,159.000000 
 1,1100,+40,162.000000 
 1,1100,+43,96.000000 
 1,1100,+46,351.000000 
 1,1100,+49,337.000000 
 1,1100,+52,278.000000 
 1,1400,+4,246.000000 
 1,1400,+7,126.000000 
 1,1400,+10,174.000000 
 1,1400,+13,202.000000 
 1,1400,+16,218.000000 
 1,1400,+19,241.000000 
 1,1400,+22,208.000000 
 1,1400,+25,183.000000 
 1,1400,+28,183.000000 
 1,1400,+31,154.000000 
 1,1400,+34,159.000000 
 1,1400,+37,162.000000 
 1,1400,+40,96.000000 
 1,1400,+43,351.000000 
 1,1400,+46,337.000000 
 1,1400,+49,278.000000 
 1,1700,+4,126.000000 
 1,1700,+7,174.000000 
 1,1700,+10,202.000000 
 1,1700,+13,218.000000 
 1,1700,+16,241.000000 
 1,1700,+19,208.000000 
 1,1700,+22,183.000000 
 1,1700,+25,183.000000 
 1,1700,+28,154.000000 
 1,1700,+31,159.000000 
 1,1700,+34,162.000000 
 1,1700,+37,96.000000 
 1,1700,+40,351.000000 
 1,1700,+43,337.000000 
 1,1700,+46,278.000000 
 1,2000,+4,152.000000 
 1,2000,+7,200.000000 
 1,2000,+10,225.000000 
 1,2000,+13,268.000000 
 1,2000,+16,211.000000 
 1,2000,+19,161.000000 
 1,2000,+22,159.000000 
 1,2000,+25,126.000000 
 1,2000,+28,161.000000 
 1,2000,+31,166.000000 
 1,2000,+34,238.000000 
 1,2000,+37,293.000000 
 1,2000,+40,258.000000 
 1,2000,+43,282.000000 
 1,2000,+46,245.000000 
 1,2000,+49,224.000000 
 1,2000,+52,229.000000 
 1,2000,+55,240.000000 
 1,2000,+58,235.000000 
 1,2000,+61,218.000000 
 1,2000,+64,199.000000 
 1,2000,+67,197.000000 
 1,2300,+4,200.000000 
 1,2300,+7,225.000000 
 1,2300,+10,268.000000 
 1,2300,+13,211.000000 
 1,2300,+16,161.000000 
 1,2300,+19,159.000000 
 1,2300,+22,126.000000 
 1,2300,+25,161.000000 
 1,2300,+28,166.000000 
 1,2300,+31,238.000000 
 1,2300,+34,293.000000 
 1,2300,+37,258.000000 
 1,2300,+40,282.000000 
 1,2300,+43,245.000000 
 1,2300,+46,224.000000 
 1,2300,+49,229.000000 
 1,2300,+52,240.000000 
 1,2300,+55,235.000000 
 1,2300,+58,218.000000 
 1,2300,+61,199.000000 
 1,2300,+64,197.000000 
 2,0200,+4,225.000000 
 2,0200,+7,268.000000 
 2,0200,+10,211.000000 
 2,0200,+13,161.000000 
 2,0200,+16,159.000000 
 2,0200,+19,126.000000 
 2,0200,+22,161.000000 
 2,0200,+25,166.000000 
 2,0200,+28,238.000000 
 2,0200,+31,293.000000 
 2,0200,+34,258.000000 
 2,0200,+37,282.000000 
 2,0200,+40,245.000000 
 2,0200,+43,224.000000 
 2,0200,+46,229.000000 
 2,0200,+49,240.000000 
 2,0200,+52,235.000000 
 2,0200,+55,218.000000 
 2,0200,+58,199.000000 
 2,0200,+61,197.000000 
 2,0500,+4,268.000000 
 2,0500,+7,211.000000 
 2,0500,+10,161.000000 
 2,0500,+13,159.000000 
 2,0500,+16,126.000000 
 2,0500,+19,161.000000 
 2,0500,+22,166.000000 
 2,0500,+25,238.000000 
 2,0500,+28,293.000000 
 2,0500,+31,258.000000 
 2,0500,+34,282.000000 
 2,0500,+37,245.000000 
 2,0500,+40,224.000000 
 2,0500,+43,229.000000 
 2,0500,+46,240.000000 
 2,0500,+49,235.000000 
 2,0500,+52,218.000000 
 2,0500,+55,199.000000 
 2,0500,+58,197.000000 
 2,0800,+4,227.000000 
 2,0800,+7,198.000000 
 2,0800,+10,186.000000 
 2,0800,+13,145.000000 
 2,0800,+16,96.000000 
 2,0800,+19,131.000000 
 2,0800,+22,350.000000 
 2,0800,+25,90.000000 
 2,0800,+28,305.000000 
 2,0800,+31,326.000000 
 2,0800,+34,306.000000 
 2,0800,+37,273.000000 
 2,0800,+40,280.000000 
 2,0800,+43,260.000000 
 2,0800,+46,241.000000 
 2,0800,+49,209.000000 
 2,0800,+52,196.000000 
 2,0800,+55,193.000000 
 2,1100,+4,198.000000 
 2,1100,+7,186.000000 
 2,1100,+10,145.000000 
 2,1100,+13,96.000000 
 2,1100,+16,131.000000 
 2,1100,+19,350.000000 
 2,1100,+22,90.000000 
 2,1100,+25,305.000000 
 2,1100,+28,326.000000 
 2,1100,+31,306.000000 
 2,1100,+34,273.000000 
 2,1100,+37,280.000000 
 2,1100,+40,260.000000 
 2,1100,+43,241.000000 
 2,1100,+46,209.000000 
 2,1100,+49,196.000000 
 2,1100,+52,193.000000 
 2,1400,+4,186.000000 
 2,1400,+7,145.000000 
 2,1400,+10,96.000000 
 2,1400,+13,131.000000 
 2,1400,+16,350.000000 
 2,1400,+19,90.000000 
 2,1400,+22,305.000000 
 2,1400,+25,326.000000 
 2,1400,+28,306.000000 
 2,1400,+31,273.000000 
 2,1400,+34,280.000000 
 2,1400,+37,260.000000 
 2,1400,+40,241.000000 
 2,1400,+43,209.000000 
 2,1400,+46,196.000000 
 2,1400,+49,193.000000 
 2,1700,+4,145.000000 
 2,1700,+7,96.000000 
 2,1700,+10,131.000000 
 2,1700,+13,350.000000 
 2,1700,+16,90.000000 
 2,1700,+19,305.000000 
 2,1700,+22,326.000000 
 2,1700,+25,306.000000 
 2,1700,+28,273.000000 
 2,1700,+31,280.000000 
 2,1700,+34,260.000000 
 2,1700,+37,241.000000 
 2,1700,+40,209.000000 
 2,1700,+43,196.000000 
 2,1700,+46,193.000000 
 2,2000,+4,154.000000 
 2,2000,+7,105.000000 
 2,2000,+10,50.000000 
 2,2000,+13,334.000000 
 2,2000,+16,343.000000 
 2,2000,+19,291.000000 
 2,2000,+22,285.000000 
 2,2000,+25,277.000000 
 2,2000,+28,231.000000 
 2,2000,+31,245.000000 
 2,2000,+34,236.000000 
 2,2000,+37,213.000000 
 2,2000,+40,198.000000 
 2,2000,+43,198.000000 
 2,2000,+46,200.000000 
 2,2000,+49,195.000000 
 2,2000,+52,210.000000 
 2,2000,+55,219.000000 
 2,2000,+58,218.000000 
 2,2000,+61,209.000000 
 2,2000,+64,201.000000 
 2,2000,+67,204.000000 
 2,2300,+4,105.000000 
 2,2300,+7,50.000000 
 2,2300,+10,334.000000 
 2,2300,+13,343.000000 
 2,2300,+16,291.000000 
 2,2300,+19,285.000000 
 2,2300,+22,277.000000 
 2,2300,+25,231.000000 
 2,2300,+28,245.000000 
 2,2300,+31,236.000000 
 2,2300,+34,213.000000 
 2,2300,+37,198.000000 
 2,2300,+40,198.000000 
 2,2300,+43,200.000000 
 2,2300,+46,195.000000 
 2,2300,+49,210.000000 
 2,2300,+52,219.000000 
 2,2300,+55,218.000000 
 2,2300,+58,209.000000 
 2,2300,+61,201.000000 
 2,2300,+64,204.000000 
 3,0200,+4,50.000000 
 3,0200,+7,334.000000 
 3,0200,+10,343.000000 
 3,0200,+13,291.000000 
 3,0200,+16,285.000000 
 3,0200,+19,277.000000 
 3,0200,+22,231.000000 
 3,0200,+25,245.000000 
 3,0200,+28,236.000000 
 3,0200,+31,213.000000 
 3,0200,+34,198.000000 
 3,0200,+37,198.000000 
 3,0200,+40,200.000000 
 3,0200,+43,195.000000 
 3,0200,+46,210.000000 
 3,0200,+49,219.000000 
 3,0200,+52,218.000000 
 3,0200,+55,209.000000 
 3,0200,+58,201.000000 
 3,0200,+61,204.000000 
 3,0500,+4,334.000000 
 3,0500,+7,343.000000 
 3,0500,+10,291.000000 
 3,0500,+13,285.000000 
 3,0500,+16,277.000000 
 3,0500,+19,231.000000 
 3,0500,+22,245.000000 
 3,0500,+25,236.000000 
 3,0500,+28,213.000000 
 3,0500,+31,198.000000 
 3,0500,+34,198.000000 
 3,0500,+37,200.000000 
 3,0500,+40,195.000000 
 3,0500,+43,210.000000 
 3,0500,+46,219.000000 
 3,0500,+49,218.000000 
 3,0500,+52,209.000000 
 3,0500,+55,201.000000 
 3,0500,+58,204.000000 
 3,0800,+4,100.000000 
 3,0800,+7,306.000000 
 3,0800,+10,284.000000 
 3,0800,+13,258.000000 
 3,0800,+16,247.000000 
 3,0800,+19,246.000000 
 3,0800,+22,246.000000 
 3,0800,+25,213.000000 
 3,0800,+28,200.000000 
 3,0800,+31,196.000000 
 3,0800,+34,195.000000 
 3,0800,+37,192.000000 
 3,0800,+40,206.000000 
 3,0800,+43,224.000000 
 3,0800,+46,227.000000 
 3,0800,+49,211.000000 
 3,0800,+52,202.000000 
 3,0800,+55,199.000000 
 3,1100,+4,306.000000 
 3,1100,+7,284.000000 
 3,1100,+10,258.000000 
 3,1100,+13,247.000000 
 3,1100,+16,246.000000 
 3,1100,+19,246.000000 
 3,1100,+22,213.000000 
 3,1100,+25,200.000000 
 3,1100,+28,196.000000 
 3,1100,+31,195.000000 
 3,1100,+34,192.000000 
 3,1100,+37,206.000000 
 3,1100,+40,224.000000 
 3,1100,+43,227.000000 
 3,1100,+46,211.000000 
 3,1100,+49,202.000000 
 3,1100,+52,199.000000 
 3,1400,+4,284.000000 
 3,1400,+7,258.000000 
 3,1400,+10,247.000000 
 3,1400,+13,246.000000 
 3,1400,+16,246.000000 
 3,1400,+19,213.000000 
 3,1400,+22,200.000000 
 3,1400,+25,196.000000 
 3,1400,+28,195.000000 
 3,1400,+31,192.000000 
 3,1400,+34,206.000000 
 3,1400,+37,224.000000 
 3,1400,+40,227.000000 
 3,1400,+43,211.000000 
 3,1400,+46,202.000000 
 3,1400,+49,199.000000 
 3,1700,+4,258.000000 
 3,1700,+7,247.000000 
 3,1700,+10,246.000000 
 3,1700,+13,246.000000 
 3,1700,+16,213.000000 
 3,1700,+19,200.000000 
 3,1700,+22,196.000000 
 3,1700,+25,195.000000 
 3,1700,+28,192.000000 
 3,1700,+31,206.000000 
 3,1700,+34,224.000000 
 3,1700,+37,227.000000 
 3,1700,+40,211.000000 
 3,1700,+43,202.000000 
 3,1700,+46,199.000000 
 3,2000,+4,245.000000 
 3,2000,+7,244.000000 
 3,2000,+10,239.000000 
 3,2000,+13,216.000000 
 3,2000,+16,198.000000 
 3,2000,+19,198.000000 
 3,2000,+22,198.000000 
 3,2000,+25,194.000000 
 3,2000,+28,210.000000 
 3,2000,+31,225.000000 
 3,2000,+34,220.000000 
 3,2000,+37,206.000000 
 3,2000,+40,198.000000 
 3,2000,+43,201.000000 
 3,2000,+46,197.000000 
 3,2000,+49,177.000000 
 3,2000,+52,211.000000 
 3,2000,+55,208.000000 
 3,2000,+58,211.000000 
 3,2000,+61,201.000000 
 3,2000,+64,174.000000 
 3,2000,+67,145.000000 
 3,2300,+4,244.000000 
 3,2300,+7,239.000000 
 3,2300,+10,216.000000 
 3,2300,+13,198.000000 
 3,2300,+16,198.000000 
 3,2300,+19,198.000000 
 3,2300,+22,194.000000 
 3,2300,+25,210.000000 
 3,2300,+28,225.000000 
 3,2300,+31,220.000000 
 3,2300,+34,206.000000 
 3,2300,+37,198.000000 
 3,2300,+40,201.000000 
